,min_cluster_size,min_samples,Precision,Recall,F1,Accuracy
0,2.0,2.0,0.9312436804853387,0.614,0.7400562474889514,0.7843333333333333
1,2.0,3.0,0.8431654676258993,0.7813333333333333,0.8110726643598616,0.818
2,2.0,5.0,0.9154929577464789,0.78,0.8423326133909288,0.854
3,2.0,8.0,0.968503937007874,0.738,0.8376844494892167,0.857
4,2.0,10.0,0.9853709508881923,0.6286666666666667,0.7676027676027677,0.8096666666666666
5,5.0,2.0,0.9164715066354411,0.7826666666666666,0.8443006112909024,0.8556666666666667
6,5.0,3.0,0.9094283593170007,0.8166666666666667,0.8605549701440112,0.8676666666666667
7,5.0,5.0,0.9703237410071942,0.7193333333333334,0.826186830015314,0.8486666666666667
8,5.0,8.0,0.9744027303754266,0.7613333333333333,0.8547904191616766,0.8706666666666667
9,5.0,10.0,0.9819219790675547,0.688,0.8090944727557821,0.8376666666666667
10,8.0,2.0,0.8861493836113126,0.8146666666666667,0.8489058700937825,0.855
11,8.0,3.0,0.9545085296506904,0.7833333333333333,0.8604906627608934,0.873
12,8.0,5.0,0.975609756097561,0.7466666666666667,0.8459214501510575,0.864
13,8.0,8.0,0.992626728110599,0.718,0.8332688588007737,0.8563333333333333
14,8.0,10.0,0.9873663751214772,0.6773333333333333,0.8034796362198497,0.8343333333333334
15,10.0,2.0,0.9920494699646644,0.7486666666666667,0.8533434650455928,0.8713333333333333
16,10.0,3.0,0.986013986013986,0.752,0.8532526475037822,0.8706666666666667
17,10.0,5.0,0.988734835355286,0.7606666666666667,0.8598342125094197,0.876
18,10.0,8.0,0.9952015355086372,0.6913333333333334,0.8158929976396538,0.844
19,10.0,10.0,0.9887535145267105,0.7033333333333334,0.8219711725749903,0.8476666666666667
20,12.0,2.0,0.990484429065744,0.7633333333333333,0.8621987951807228,0.878
21,12.0,3.0,0.9827302631578947,0.7966666666666666,0.8799705449189985,0.8913333333333333
22,12.0,5.0,0.999001996007984,0.6673333333333333,0.8001598721023181,0.8333333333333334
23,12.0,8.0,0.9990393852065321,0.6933333333333334,0.8185753640299095,0.8463333333333334
24,12.0,10.0,0.9980506822612085,0.6826666666666666,0.8107680126682502,0.8406666666666667
25,15.0,2.0,0.9804719283970708,0.8033333333333333,0.8831073653352877,0.8936666666666667
26,15.0,3.0,0.9990167158308751,0.6773333333333333,0.807310290027811,0.8383333333333334
27,15.0,5.0,0.9991063449508489,0.7453333333333333,0.8537609774723176,0.8723333333333333
28,15.0,8.0,0.9990138067061144,0.6753333333333333,0.8058870326173428,0.8373333333333334
29,15.0,10.0,0.9971751412429378,0.706,0.8266978922716628,0.852
