Umbral,Precision,Recall,F1,Accuracy,Ensayo
0,1.0,0.16733333333333333,0.2866933181039406,0.5836666666666667,Cara
1,0.5,1.0,0.6666666666666666,0.5,Cara
2,0.5,1.0,0.6666666666666666,0.5,Cara
3,0.9646586345381526,0.8006666666666666,0.8750455373406194,0.8856666666666667,Cara
4,0.5,1.0,0.6666666666666666,0.5,Cara
5,0.7509433962264151,0.9286666666666666,0.8304023845007452,0.8103333333333333,Cara
6,0.5,1.0,0.6666666666666666,0.5,Cara
7,0.5,1.0,0.6666666666666666,0.5,Cara
8,0.5,1.0,0.6666666666666666,0.5,Cara
9,0.5634184068058778,0.9713333333333334,0.7131669114047968,0.6093333333333333,Cara
10,0.5,1.0,0.6666666666666666,0.5,Cara
11,0.959349593495935,0.5506666666666666,0.6997035154595511,0.7636666666666667,Cara
0,0.0,0.0,0.0,0.5,Voz
1,0.0,0.0,0.0,0.5,Voz
2,0.0,0.0,0.0,0.5,Voz
3,0.0,0.0,0.0,0.5,Voz
4,0.0,0.0,0.0,0.5,Voz
5,0.0,0.0,0.0,0.5,Voz
6,0.0,0.0,0.0,0.5,Voz
7,0.0,0.0,0.0,0.5,Voz
8,0.0,0.0,0.0,0.5,Voz
9,0.0,0.0,0.0,0.5,Voz
10,0.0,0.0,0.0,0.5,Voz
11,0.0,0.0,0.0,0.5,Voz
0,0.0,0.0,0.0,0.5,Cara + Voz
1,0.8691222570532915,0.7393333333333333,0.7989913544668588,0.814,Cara + Voz
2,0.9781491002570694,0.5073333333333333,0.6681299385425812,0.748,Cara + Voz
3,1.0,0.005333333333333333,0.010610079575596816,0.5026666666666667,Cara + Voz
4,0.8702127659574468,0.5453333333333333,0.6704918032786885,0.732,Cara + Voz
5,1.0,0.09866666666666667,0.1796116504854369,0.5493333333333333,Cara + Voz
6,0.5052276559865093,0.9986666666666667,0.6709966405375141,0.5103333333333333,Cara + Voz
7,0.5,1.0,0.6666666666666666,0.5,Cara + Voz
8,0.5,1.0,0.6666666666666666,0.5,Cara + Voz
9,1.0,0.14666666666666667,0.2558139534883721,0.5733333333333334,Cara + Voz
10,0.8278301886792453,0.936,0.8785982478097623,0.8706666666666667,Cara + Voz
11,0.0,0.0,0.0,0.5,Cara + Voz
0,0.0,0.0,0.0,0.5,Cara + Voz. PCA
1,0.500835282325426,0.9993333333333333,0.6672601825061206,0.5016666666666667,Cara + Voz. PCA
2,0.5160055671537926,0.9886666666666667,0.6780978509373572,0.5306666666666666,Cara + Voz. PCA
3,0.9990749306197965,0.72,0.8368849283223557,0.8596666666666667,Cara + Voz. PCA
4,0.5107618722241203,0.9966666666666667,0.6754009487237407,0.521,Cara + Voz. PCA
5,0.8782664117272148,0.9186666666666666,0.8980123818833496,0.8956666666666667,Cara + Voz. PCA
6,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. PCA
7,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. PCA
8,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. PCA
9,0.713764337851929,0.9126666666666666,0.8010532475131656,0.7733333333333333,Cara + Voz. PCA
10,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. PCA
11,1.0,0.2733333333333333,0.42931937172774864,0.6366666666666667,Cara + Voz. PCA
0,1.0,0.17666666666666667,0.30028328611898014,0.5883333333333334,Cara + Voz. GMM
1,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
2,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
3,0.5011693952555963,1.0,0.6677053193857111,0.5023333333333333,Cara + Voz. GMM
4,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
5,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
6,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
7,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
8,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
9,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
10,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
11,0.4517014270032931,0.5486666666666666,0.4954846478025286,0.44133333333333336,Cara + Voz. GMM
